Date,ADS.DE,005380.KS,KO,V
2023-02-13,141.43679296859221,104.3161094224924,101.60965642906977,110.60745806985197
2023-02-14,140.26473235526197,105.59270516717325,99.91616492694125,110.85391557958329
2023-02-15,142.2249093368617,104.98480243161094,99.91616492694125,110.62678503430776
2023-02-16,146.42820691269233,108.9969604863222,99.29577771085926,109.13352816132654
2023-02-17,145.01364302543686,108.8145896656535,100.8048282145349,108.03653673774994
2023-02-20,142.24512179741964,108.32826747720365,,
2023-02-21,138.85015305041645,108.32826747720365,100.26827607151164,106.61576519883988
2023-02-22,141.2549270763408,105.8966565349544,100.57008745148798,106.32581648866586
2023-02-23,140.60826709679688,107.11246200607903,100.75452844994086,106.86223008246073
2023-02-24,137.8195334082217,105.71428571428571,100.33534668844106,106.09868594339035
2023-02-27,139.79993826796942,105.34954407294833,100.30181137997634,106.48529159751186
2023-02-28,143.13428505088885,107.17325227963526,99.7820236930824,106.28715518586479
2023-03-01,142.3259562220614,,98.69215495090656,105.52361104679443
2023-03-02,144.48822697406052,108.51063829787235,100.13414123385886,105.86188822894212
2023-03-03,147.51944851897088,107.05167173252279,99.66465331155892,108.13802357933905
2023-03-06,148.10548653443104,107.90273556231003,101.20724551990537,109.57812208270495
2023-03-07,145.9432157824319,106.44376899696049,100.62038721608201,107.84806749527554
2023-03-08,149.03505929142605,106.32218844984803,100.67069337688211,107.37447944026869
2023-03-09,153.44043522006606,107.17325227963526,99.69818862002366,106.32097921713483
2023-03-10,151.17711758286723,106.38297872340425,99.27900685852386,104.45078385920472
2023-03-13,147.43861409432913,106.99088145896657,100.28504692384702,103.64374851969168
2023-03-14,149.4998533787186,103.95136778115501,100.65392252454673,105.66858908882614
2023-03-15,142.62908146007044,105.95744680851064,101.32461590142884,104.56193049607694
2023-03-16,143.41719782833994,105.77507598784194,101.10663959451124,105.08384702305756
2023-03-17,142.5078221143128,107.35562310030394,100.6371580684174,105.05485288942911
2023-03-20,143.13428505088885,106.44376899696049,101.60965642906977,105.42212420520534
2023-03-21,144.08407026844182,106.8693009118541,101.14017490297594,107.25849553186538
2023-03-22,142.46741261078694,109.6048632218845,100.68745783301144,106.33547628394902
2023-03-23,143.78094503043278,109.72644376899696,100.46948152609383,107.56777858038471
2023-03-24,142.58865653895455,108.02431610942249,102.11267965983441,106.81873150812854
2023-03-27,142.46741261078694,107.05167173252279,102.86720171356917,107.19084009543579
2023-03-28,142.64927850303835,107.65957446808511,102.98457209509264,106.47562442833922
2023-03-29,147.94381768514754,109.66565349544074,103.7223360889042,107.91089303406353
2023-03-30,156.61311315370196,110.15197568389058,103.70556523656879,107.45663194351249
2023-03-31,164.47407979342896,112.1580547112462,104.00737661654516,108.95472608802477
