year,region_code,price
2023,UKH,4.5
2023,UKI,5.0
2023,UKJ,5.3000002
2023,UKK,4.5
2023,UKL,4.5
2023,UKM,4.5
2023,UKN,4.23
2024,UKC,4.4499998
2024,UKD,4.8899999
2024,UKE,4.5
2024,UKF,4.3000002
2024,UKG,4.25
2024,UKH,3.85
2024,UKI,5.0
2024,UKJ,5.9899998
2024,UKK,5.5
2024,UKL,4.25
2024,UKM,4.5
2024,UKN,4.0
