Country Name,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belize,4.539456958,10.73530413,9.787711443,13.00922113,9.474652017,11.7787045,12.73622065,6.137886008,-0.019986869,0.731558306,1.105306354,4.234616513,3.893021663,9.423191377,12.24061403,4.993563302,5.399072105,9.665225324,4.780665783,2.219189271,4.511455442,3.297024123,-1.538593921,-0.450692254,1.239952915,-0.298181525,3.661599382,4.437643837,4.005318317,3.225493091,-0.011034415,-1.813365148,1.055598231,4.236234536,-13.73169108,17.86244784,8.734311438,4.541632208
Bermuda,6.666666666,3.750000001,4.056224899,0.443844075,0.019212297,-3.5343821,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.842869643,5.41909484,6.431133996,
Bolivia,-2.5738842,2.463484616,2.909497961,3.790130964,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.111372697,3.605680426,2.443471918
Brazil,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.54407205,4.924690004,5.852870362,4.223793634,2.20886405,3.394845986,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.762604379,3.016694354,2.908480487
Barbados,5.104166667,2.590967011,3.50538228,3.6,-3.307593308,-3.899906828,-5.692520776,0.793067998,2.010782457,2.013998,3.976477177,4.740102343,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.070545637,2.079183889,0.633461059,-5.017275959,-2.217710437,-0.77239614,-0.249110378,-1.313543468,-0.0582879,2.423925408,2.552677993,0.514753126,-0.746352497,0.379893733,-12.53966641,-1.18319712,13.48086157,4.516489659
Brunei Darussalam,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109865,1.13357335,-1.590762601,-1.628331545,1.407068229
Bhutan,11.3921976,29.05432385,4.767373021,7.355567318,10.38311792,-0.407875616,4.600891209,1.986366624,4.951503656,7.074117329,5.565173016,5.373838563,5.914030823,7.983971884,3.355068305,7.328374452,10.44377954,7.786560536,5.157257256,6.935071466,5.640805265,16.10478365,4.529448692,7.667492403,11.9318739,8.307647832,5.095492644,1.658455578,5.717865612,6.568454317,8.400553755,3.507567403,3.501871857,5.755148512,-10.21839742,4.421367389,5.213867838,
Botswana,8.172924332,11.88192814,19.44996951,13.05940589,6.772821949,7.458709219,2.917070188,1.916107052,3.627916152,7.030410248,5.829800014,8.325890884,0.443663586,9.667240703,1.987695834,0.25057395,6.069530876,4.62589475,2.705821706,4.556645653,8.363871093,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.694777382,-4.85133564,7.204424759,4.114363663,4.188093554,3.032202574,-8.728752526,11.92063651,5.486028178,2.730919046
Central African Republic,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.982919996,0.502110003,0.870251451
Canada,2.121480841,4.072015759,4.410839068,2.337329746,0.202947863,-2.091055179,0.890466255,2.657706883,4.494049243,2.682328303,1.688961208,4.280166863,3.89288653,5.14100348,5.138539186,1.875098132,2.99925535,1.806385135,3.092363835,3.210454357,2.6379438,2.049904611,0.99540631,-2.915086239,3.090806374,3.13719439,1.755661325,2.325813574,2.873466772,0.649970994,1.038550935,3.033834903,2.742963431,1.908431925,-5.038233441,5.286956891,3.819866339,1.065994453
Central Europe and the Baltics,,,,,,-10.86537815,-4.998183892,0.199351659,3.6853114,5.492109387,4.546917513,2.313651777,2.680100746,1.906916315,3.956858383,3.080647759,3.614744067,4.087104826,5.83995749,5.019021837,6.594761131,6.4329645,3.9356154,-3.506548725,1.436268024,3.514208876,0.825752521,0.667716325,3.215752783,4.026322092,2.75319275,5.101273967,4.946400183,3.908521817,-3.41747604,6.433398707,4.247073127,0.511703045
Switzerland,1.858632717,1.585478381,3.277596037,4.330794211,3.674625593,-0.915816668,-0.043733003,-0.125983395,1.269757676,0.480866449,0.471280021,2.261325239,3.02996917,1.662701284,3.958719719,1.575661967,-0.073217084,-0.032398477,2.70170921,2.749698985,4.07362845,3.916375818,2.807983632,-2.297374631,3.243397336,1.813108192,1.179253833,1.792144057,2.349881275,1.644627687,2.068689667,1.362799557,2.860445795,1.141982325,-2.141737207,5.391888041,2.568328178,0.716066869
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.574424182,2.066446739,2.360744654,-8.467597317,15.4552113,7.805178745,
Chile,5.377692323,6.460468528,7.345110454,9.923382897,3.333565474,7.804392186,11.16670773,6.588783827,5.030197979,8.933295869,6.802916596,7.391739268,4.180886627,-0.273631398,4.971621489,3.154034924,3.20279914,4.723245267,6.674254167,5.837045715,6.049990829,5.168230987,3.789392802,-1.118037233,5.851651017,6.223896787,6.155340021,3.308508245,1.792649474,2.151942499,1.753038746,1.357695378,3.990029475,0.634367534,-6.143474792,11.33395707,2.058740081,0.218780667
China,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786085,14.22452959,13.8837293,13.03680663,10.95395434,9.922556753,9.236779892,7.845951787,7.6616515,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.238638356,8.448469417,2.989084086,5.2
Cote d'Ivoire,3.259348766,-0.348972914,1.136483966,2.948004943,-1.095908412,0.040925172,-0.244560611,-0.192485099,0.81120668,7.125744728,7.729327419,9.648840047,4.263905944,1.166859982,-0.265789462,-2.154012491,-2.730526474,-4.725866586,3.185038226,0.996065565,2.815578593,1.101429768,4.782665979,3.603321567,6.848049399,-5.37044724,7.620411765,10.76021313,9.371999942,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.217850913,6.53593302
Cameroon,6.771663084,-2.146650215,-7.823631975,-1.819120512,-6.105697646,-3.808599373,-3.100003211,-7.932066574,1.876809226,2.894001377,4.21507215,4.527313766,4.725534848,4.511304221,3.832417794,4.324261192,4.477026834,5.453153689,7.048862819,2.228270209,3.809583276,4.32758901,2.847677889,2.579251777,2.899024721,3.379211285,4.625978722,4.995529161,5.719818145,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982,0.259932916,3.338857472,3.582796319,3.993389509
"Congo, Dem. Rep.",4.717209653,2.675642451,0.470381337,-1.266050636,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288099,6.916167119,2.399398911,3.726947659,5.8211211,4.384528874,1.735422767,6.200154011,8.924447626,8.560862509
"Congo, Rep.",-6.861526437,0.18937664,1.766263428,2.599876518,1.000003566,2.395367453,2.611948055,-0.979683209,-5.493075745,3.985324378,4.290481559,-0.624812152,3.73755277,-2.582199358,7.575980395,3.802601899,4.581870061,0.813264076,3.476631621,7.755758978,7.986238363,-6.613994804,6.306375956,11.63728886,9.931265431,2.205919363,9.947153143,-0.712434452,6.646065409,0.415193061,-8.685243439,-5.594773719,-2.304317801,1.124477074,-6.267777996,1.01507338,1.475356132,1.906864263
Colombia,5.824076137,5.368932148,4.064173245,3.41409611,4.281998331,2.001607596,4.044929439,5.385409939,5.814661907,5.202437593,2.055854713,3.430293678,0.569784088,-4.204015242,2.924861482,1.677898308,2.503980467,3.918271903,5.333022068,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.185914138,10.80119819,7.288883887,0.612181322
Comoros,1.867612167,1.637784181,2.687379404,-3.180256516,5.091236413,-5.395637149,8.530981788,3.006061307,-5.276782997,3.610206432,-1.291688926,4.030153668,1.282515793,1.924408712,10.84787862,2.332907102,2.324944861,2.103871636,1.919659807,2.83754787,2.646955476,0.800042349,3.964611189,3.240740728,3.77776675,4.143506695,3.168409869,4.466247315,2.106657589,1.147350761,3.320446562,3.815762877,3.642451138,1.760780239,-0.195556827,2.112195577,2.387678485,2.701093579
Cabo Verde,2.871455425,4.309063729,5.996854915,5.697949367,0.692171874,1.404146981,10.93764699,8.708311566,19.18264163,14.21163625,11.34652476,11.11842606,12.51728579,11.22264845,14.28486885,2.231654545,5.25089117,4.176259326,10.19707263,6.912457957,7.983750448,15.17068797,7.039011296,-1.503586724,1.83641915,3.924718213,1.083648484,0.632136727,0.69666684,0.936026508,4.280714827,4.55131481,3.706964607,6.947826325,-20.80527592,7.033530103,17.43907944,5.149134858
Costa Rica,5.536250843,4.76453328,3.43214738,5.665975549,3.553063366,2.265654989,9.201103737,7.097191232,4.519028379,4.153953048,1.350459535,5.476165775,7.155308578,4.214811168,3.868718091,3.491169871,3.416876389,4.317179864,4.424599598,3.976666368,7.326695432,8.215131984,4.738174877,-0.873455941,5.360343477,4.403159239,4.88259241,2.494766114,3.542109876,3.652080968,4.204323254,4.157698962,2.615904403,2.417511817,-4.273354321,7.935762247,4.55149178,5.111921832
Caribbean small states,3.24318074,2.00354576,3.85830644,4.641090697,-0.872625886,-0.987619201,-0.539800831,0.906971942,3.312282744,2.839356107,4.056851949,3.391553599,3.57732737,3.941487011,3.658960992,1.299605472,2.154775703,1.849366797,2.823409214,3.280619789,4.456252799,3.30016126,0.542179394,-2.599820145,0.991500471,1.716845682,2.328032415,0.07382763,1.763824459,0.697970066,0.471963597,1.943260286,2.891163477,1.024653223,-9.193462793,10.44403235,22.47821734,12.71585628
Cuba,0.095303386,-2.402172538,3.705539909,0.680083233,-2.948564945,-10.69269711,-11.58060308,-14.87818069,0.71693031,2.457201172,7.838749797,2.78342506,0.15914605,6.188755307,5.914760019,3.185029904,1.424821261,3.792740223,5.77053807,11.20165656,12.06586298,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438333589,0.512843096,1.809791772,2.247948541,-0.163087224,-10.9490846,1.253693425,1.774853995,
Curacao,,,,,,,,,,,,,,,,-0.695753704,0.397065217,0.288186682,0.208461073,0.676425345,1.63593469,2.469963228,2.18804308,-0.531308242,0.082306609,0.508457482,-0.348950824,-0.635696908,-0.637397373,0.458151544,-1.067708487,-1.276208101,-2.104111331,-3.206132303,-18.03845768,4.2,7.9,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,3.162625338,-0.357401373,-7.200482782,-2.715636823,1.169062695,1.229753683,1.279330593,2.654529322,2.833122427,3.239973614,3.184047307,4.267265672,3.915636377,-4.954807322,4.904929542,5.15632992,
Cyprus,3.703950289,7.065250813,8.646777844,7.947425532,7.403999507,0.739501202,9.399999016,0.700000488,5.899998701,8.362469305,1.248581576,2.64089464,6.110846746,4.997960422,5.965310315,3.952560541,3.722956499,2.623286123,5.026343926,4.853003838,4.713828666,5.098068453,3.646811991,-2.015262359,2.283544997,0.416712763,-3.447381424,-6.587482257,-1.776061912,3.418923188,6.573580202,5.733476139,5.647664896,5.537254811,-3.443596379,9.911311792,5.058128008,2.466934965
